C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
118687,Customer#000118687,"tngrvzVWBJmm90OLganGC,M7fwRQp4XfScu",19,29-381-602-2802,1551.90,HOUSEHOLD,lly final asymptotes haggle furiously. accounts cajole-- expre
44953,Customer#000044953,zsSMQnmEnVuBJGnAYRqsgOxn,15,25-997-358-6332,-530.77,FURNITURE, platelets; carefully even notornis sleep fluffily. quickly unusual pinto beans sleep furiously. notornis haggl
98105,Customer#000098105,QFr7GtpbOHi,5,15-517-340-9401,-643.99,AUTOMOBILE,ep at the fluffily even excuses. quickly final d
110227,Customer#000110227,"LrZXwgnBKHg3z38,GDEr",22,32-728-652-5209,-838.96,MACHINERY,"r packages boost blithely bold deposits-- special accounts thrash furiously near the regular, regular requests"
15817,Customer#000015817,"FemO833vi ,fonN8abxpDDcUm3c, ",4,14-179-465-3594,3095.96,BUILDING,ly silent deposits. slyly quick dependencies haggle carefull
28778,Customer#000028778,",qzhKNL0IFvG7zimUDQ427E6yUwPl",4,14-626-475-5188,3514.28,FURNITURE,"ies. ironic, express requests use slyly. furiously final dinos"
5507,Customer#000005507,kRtHo Iwi5c,10,20-112-914-3704,8959.98,HOUSEHOLD,"slyly ironic accounts. ironic, pending deposits are finally iro"
65812,Customer#000065812,599t5X7IbDIHZRpbfcbQwWzVdLEsMdd,6,16-858-568-5194,6366.71,AUTOMOBILE,"lent dolphins detect alongside of the carefully ironic decoys. even excuses wake slyly unusual accounts. final, spe"
4276,Customer#000004276,MgoVSizqU3ndzGqt68,15,25-898-656-2260,7206.19,FURNITURE,posits haggle furiously carefully final multipl
55922,Customer#000055922,hSD4NOP87wnTtuNZ0UTuSlH4JsRtoivl17nIDI,20,30-402-606-9464,5098.86,HOUSEHOLD,pecial ideas use carefully carefully even wart
70858,Customer#000070858,"EFSiC0,roc7KWsA",4,14-103-784-6407,778.65,HOUSEHOLD,ar deposits. final ideas alongside of the furiously brave accounts haggle against the sl
50860,Customer#000050860,E5UJCVsQhbTjRGT88t33RKZl0k,23,33-615-586-4455,9869.46,BUILDING, brave theodolites doubt slyly regular 
14774,Customer#000014774,lnwBAEldYyq6IUS,2,12-888-805-3748,7656.00,FURNITURE, quickly requests. ironic accoun
90181,Customer#000090181,62sPmTtBI RxHg3jKEtlkf2Xtk7,3,13-260-625-4618,2581.49,FURNITURE,tes play furiously blithely express requests. slyly ironic requests boost fluffily acc
95038,Customer#000095038,CfzmZp7o1k1sWz,11,21-593-835-2520,7901.17,BUILDING,"ggle against the fluffily ironic requests. ironic, pending asymptotes cajole. quickly pending theodolites are "
26596,Customer#000026596,"8vplwWHWnj6re,",9,19-733-378-3814,7567.83,FURNITURE,"heodolites; slyly ironic asymptotes haggle after the accounts. special, express dolphins among "
87103,Customer#000087103,CxkFKYz3Pib8jj A4448O,8,18-520-771-5632,545.58,AUTOMOBILE,ages. sauternes cajole. quickly ironic courts detect quickly carefully even accounts. unusu
91582,Customer#000091582,bTW6y5gpmb2Ab1BWVD70Vo7bm,24,34-903-699-5221,5161.92,MACHINERY,longside of the furiously even deposits. slyly special deposits engage according to 
58139,Customer#000058139,AuK6S0M4ubfbuQ6Tqm74ZEC,22,32-215-443-2472,6505.58,BUILDING,ng pinto beans wake slyly after the packages. special request
67870,Customer#000067870,"V7T1bGzyUp3z4ylqecoB,loNqL3Nm f",3,13-883-862-8230,4548.66,HOUSEHOLD,riously blithely ruthless requests. pinto beans wake against the 
49597,Customer#000049597,NlVI5V5HOr,20,30-617-166-2205,1106.69,BUILDING,dolites? regular accounts sleep
46163,Customer#000046163,SanWi3lz1zpbG H5CU6jYQ,20,30-914-182-9196,1263.92,HOUSEHOLD,instructions about the furiously silent instructions need to sleep unusual excuses
112723,Customer#000112723,UG0Dgfx2cWiwAEmRZXS2dm,18,28-415-267-4302,9196.43,FURNITURE,es. pending instructions are across t
81629,Customer#000081629,EFSAar7tYuoX4EsNR7hCKh2B,0,10-236-680-7585,4154.60,MACHINERY,al instructions alongside of the furiously ironic br
36562,Customer#000036562,"19KbGCSA8nDbGghvlTWM3zh7 kH7hN1s5WIyA,gS",12,22-272-485-8196,6735.41,MACHINERY, slyly ironic instructions affix quickly. even pearls according to the carefully even pinto beans
129325,Customer#000129325,"cQnPhh0dugSe,DGtwkQo1cjsq d",17,27-356-338-9387,1270.85,AUTOMOBILE,g dolphins kindle carefully-- s
55240,Customer#000055240,"6vbvtSph1CZ3r1,v9IEem3if",11,21-944-903-2838,-797.62,AUTOMOBILE,"among the final, final ideas. regular pinto beans cajole daringly silent courts. ruthlessly regular pa"
81104,Customer#000081104,"rdt, 3RJfk4PMmKj uO6f4cwTMKG0dg4bwJ",9,19-374-594-9297,2570.32,FURNITURE,"hely even deposits are along the unusual, final fox"
2725,Customer#000002725,JNCWZz8RerBgWEnpo193ogF9RrVMSyI,12,22-415-166-7713,3206.75,BUILDING,dolphins. carefully final ideas wake. silently ironic accounts cajole slyly. iron
122518,Customer#000122518,"Ig4Q,NlXM8T8Ts",17,27-940-734-2126,-964.88,BUILDING,lithely unusual multipliers. asymptotes wake blithely blithely pending requests
85795,Customer#000085795,XIQ7tIsKGQhoqUM8TnZrZNiLohC5oNr,14,24-352-560-6466,6534.75,HOUSEHOLD,"en platelets solve blithely excuses. even, pending packages impress at the even requests. bold dependencie"
62347,Customer#000062347,sqsEAIQv BY,0,10-327-356-4619,-742.03,MACHINERY,ully furiously bold packages. blithely ironic requests wake carefully across 
7375,Customer#000007375,"nE4dJdK6,FPjl2ye,4",1,11-354-205-9468,92.75,FURNITURE,onic theodolites. ideas haggle blithely carefully even theodolites. foxes affix blithely. fluffily final deposi
35422,Customer#000035422,Ppd1qulNBO sxHev9g3e,0,10-622-752-3019,8713.09,FURNITURE,ly ironic requests cajole. fluffily brave foxes was. regular deposits caj
86666,Customer#000086666,03kA800sOZzY3ZQLtn2Yby5wT,22,32-817-870-6546,4083.52,BUILDING,"ly ironic packages! ruthlessly even excuses haggle idly. carefully bold requests sleep idly alongside of the final, "
50039,Customer#000050039,"YpwZZ5w,Kg7w,c",19,29-782-160-2977,2218.17,MACHINERY,lithely even requests play. pending pinto beans against the packages
135194,Customer#000135194,ZYktA2GqITZ7oSuwzhwwUC0yWhtEhwiq3,7,17-307-200-3926,2566.99,AUTOMOBILE, according to the blithely express acc
44974,Customer#000044974,RP0VsC5NJ6iftzCxaljghZVq4Q MPUla,24,34-566-411-4859,-81.77,BUILDING, packages. furiously slow deposits nag fluffily quickly pending accounts. slyl
122405,Customer#000122405,vcjfWQjMUJWsb45,13,23-250-565-4404,1970.52,FURNITURE,bold ideas hinder carefully ironic package
45748,Customer#000045748,PpXpNOau5W0dAQpJHSX5EEX6PjNoxcGJXOjg01,2,12-861-520-9449,4651.96,HOUSEHOLD,ly across the quickly final foxes. slyly regular deposits are boldly. even foxes across the carefully even asymptot
32116,Customer#000032116,"hfXjHGdaLDd 9a,dg2m2s7GEDSm",13,23-249-143-1017,3499.97,AUTOMOBILE, ironic packages alongside of the blithely express packages are carefully above the carefully final pinto bea
70366,Customer#000070366,jzZPSxZ mUbWq8oWO,19,29-488-760-1504,2988.60,BUILDING,rding to the carefully final platelets? carefully unusual accounts since the furiously enticing ideas should
26392,Customer#000026392,qbhNrze9YIk ,14,24-670-854-4534,9187.87,HOUSEHOLD,yly bold deposits. furiously ironic instructions haggle regula
133054,Customer#000133054,Mk6sQdVR0BkOGjGsrIjZjfZZE,17,27-880-930-8381,877.01,MACHINERY,lithely. accounts affix slyly. blithely ironic accounts during the carefully furious acc
36997,Customer#000036997," hrUpuOtESRRPhFmNIfK3d,08GoSlWmSI3Gt7w1t",18,28-600-389-4083,7173.56,BUILDING,c deposits detect slyly even deposits. requests haggle furiously at the regular depen
82936,Customer#000082936,KOsR3XXh7gleoWC7Tnmq2EeoExqRHp,8,18-371-851-2420,277.07,AUTOMOBILE,"along the even packages. regular, pending packages haggle furiously dolphins. perma"
115435,Customer#000115435,"0bllcI,SFQXESmeryyMnDaV icMVBqCU9jy",21,31-320-356-9907,-740.57,MACHINERY,l ideas haggle fluffily. fluffily regular requests cajole bold requests. ironic deposits across the furiou
24295,Customer#000024295,"yHx3,vfO5Sk0AjkzFO",4,14-467-402-2269,5427.01,BUILDING,ests sleep slyly alongside of the packages. blithely even requests cajole along the carefully unusual foxe
81964,Customer#000081964,"pr,SoZMLMnhZg1dNUdg7L1YNOW",23,33-276-179-2472,-747.34,FURNITURE,r sauternes maintain slyly unus
19304,Customer#000019304,",kuN9TUkVAjDC7Tr57ToUxtcSoFHuE8j",17,27-948-495-8152,3297.37,MACHINERY,ess instructions affix carefully furiously pending frays. blithely regular tithes cajole furi
143314,Customer#000143314,IRysPJbb5PA4NWVa6,5,15-584-663-8902,7719.47,BUILDING,uickly unusual packages detect. fluffily ironic platelets b
89251,Customer#000089251,"ERBawH7mx1lLTSrHgqpM Mh,7JJFkVpBix",7,17-672-688-3502,8144.15,BUILDING, regular theodolites boost. furiously silent requests haggle alongside of the daring ideas. ironic foxes wake blit
28846,Customer#000028846,"Mg7oEt53rW,Qa7X7D LZK3xy",0,10-921-174-9693,6295.03,FURNITURE,ly final asymptotes poach slyly carefully ironic tithes. pinto beans along the furiously bold patterns 
69232,Customer#000069232,rhuff8yImD4Kpf walK8Q Pu5gyM0xTkm,18,28-886-418-9143,5620.20,AUTOMOBILE,"ully. ironic, regular deposits cajole. blithe"
54625,Customer#000054625,DctWdmNqLTzwqaO0IoSOPZeTlZKdByu6K x J8,9,19-980-401-6586,-875.00,HOUSEHOLD,"hout the unusual, ironic packages. blithely furious requests lose blithely at the express, ironic platelets. regu"
112628,Customer#000112628,"S2,9v9R6bS5wMN5E9tAoQpbak3gDTXsYdiWpV0gI",17,27-980-834-9527,7970.60,MACHINERY,"fully unusual ideas! furiously close requests haggle blithely bold instructions. regular, f"
113648,Customer#000113648,"7m,Me,v3NEPG3QniiAqJBdxQ6U",17,27-109-567-9256,384.40,BUILDING, sleep quickly across the ideas. carefully pending asymptotes cajole
10399,Customer#000010399,UJTIoRBudVK,0,10-563-478-7478,8448.17,AUTOMOBILE,ly regular ideas! furiously ironic accounts cajole above the dependencies. thinly ironic theodolites c
43988,Customer#000043988,"WzbPzQt38sI,c67HdGZIzQk6BU1S977GfiJW",4,14-520-616-3868,2429.09,MACHINERY,al theodolites sleep blithely fluffily even excuses. quick accounts ar
145966,Customer#000145966,0xWwEAlkI6IJFSBTSdR 8o9QphbrMjD2F,16,26-115-248-1195,78.50,MACHINERY,ly regular pinto beans sleep along the blithely unusual packag
147130,Customer#000147130,wCKCwQ0G9AWzzZe5OFHd,10,20-835-596-1110,4315.81,HOUSEHOLD,ideas. blithely ironic realms doubt
20476,Customer#000020476,tJFL3N29 x2qT2qnQVFFYWf0IdE8p,6,16-707-683-1138,-347.35,HOUSEHOLD,"are blithely according to the final, ironic requests. bold accounts haggle quickly bold theodolites. express, fin"
66473,Customer#000066473,Iijkgj2hm3afLjcLtownThETTfSiwzo6 UQ,23,33-888-869-7657,9622.86,BUILDING, bold packages detect about the bl
87619,Customer#000087619,aVjgW4bbsTDP3VJkhL1hQVgGzUR,5,15-171-930-5755,7777.41,HOUSEHOLD,old instructions. furiously special requests could haggle carefully slyly even deposits. iron
136172,Customer#000136172,8gew5 EDZg,5,15-536-688-7890,1985.32,AUTOMOBILE,ly furiously bold packages. blithely special requests wake a
86974,Customer#000086974,lF4mi9j6yyKw,22,32-339-541-7712,9405.23,FURNITURE,al courts cajole. blithely final foxes are furiously after the instructions: slyly pending braids a
26468,Customer#000026468,"SLr,UdKWj11W",7,17-457-351-9080,6346.63,BUILDING,"regular requests. dependencies cajole. slyly pending requests could wake ironically. pending, even packa"
87067,Customer#000087067,"7o2fhlR7U3v9aXdc5,cMZOF99YFM9aIa5jd",14,24-510-748-1436,6962.37,FURNITURE,"furiously quick packages-- bold, ironic accounts poach accordin"
95836,Customer#000095836,vY8Onr59RRovHb4Vsxg,5,15-598-993-6616,5015.67,AUTOMOBILE,"he even excuses are doggedly carefully final packages. regular, special accounts integrate blithely against"
149116,Customer#000149116,GDeL5IXojXR5IX7WPnAmHp7kLleDzNeha,16,26-402-358-5812,-993.31,AUTOMOBILE,ccounts sleep slyly. pending excuses cajole carefully final excuses. closely even ideas was-- furious
12049,Customer#000012049,akTKqoZMIjuNKurnpIn,1,11-223-412-5392,3865.83,FURNITURE,st the packages. regular asymptotes haggle ironic platelets. even somas unwind blithely blith
143419,Customer#000143419,rXr YbemBGzYwlzyS13Cfbrvc,22,32-676-481-4023,6951.65,FURNITURE,lites sublate blithely special packages; slyly ironic requests cajole carefully. slyly silent requests boost slyl
141595,Customer#000141595,DlnKjhtHpWXhUEozfi1yxK,3,13-817-791-7946,781.47,MACHINERY,"ously blithely final ideas. ironic, final deposits wake! carefully ironic sauternes among the i"
55250,Customer#000055250,o0AMyov2I9X UDi,5,15-286-647-5737,723.45,AUTOMOBILE,"pinto beans cajole busily. bold, idle foxes doze about the final instructions. even ideas lose blithely carefully un"
31696,Customer#000031696,"1h,Tle7cJDNYVJUk5PZgKBtvvEVzn,IzXo4Q00",20,30-240-860-1258,9617.34,HOUSEHOLD,ly blithely even deposits. pending accounts dazzle carefully furiously idle deposits. slyly special warhorses above 
119815,Customer#000119815,"QFhEogL2v,I",9,19-913-376-8589,8609.84,FURNITURE, haggle according to the requests. carefully bold a
68053,Customer#000068053,3ZyCeetggO5FBhNUFOZHJS3Ox5jsYCrhji,23,33-229-647-5661,6973.03,BUILDING,its promise fluffily beside the courts. fluffily silent foxes above the silent somas sleep special forges
108494,Customer#000108494,uHTgjwu oSQj5jlIGon6TXTiCtzUEhjN,11,21-105-821-7999,2591.74,MACHINERY,aters wake quickly. packages along the quickly 
133702,Customer#000133702,"0V5AHSF,M0Qfe79pOqJ7NRG0KDxZXs",17,27-926-317-3353,9314.42,FURNITURE,g accounts along the carefully special theodolites cajole across the stealthily 
85730,Customer#000085730,79WLsG1iWOsFPVkH6O,2,12-449-914-1611,479.10,AUTOMOBILE,s are carefully slyly express deposits. carefully bold pinto beans above the furiously express accounts promise re
71939,Customer#000071939,BfRmOWBRZP3R RAcoH5vOO29gUOJ0Sj,15,25-678-958-3996,685.66,HOUSEHOLD,nts. carefully pending foxes cajole blithely busily ironic accounts. unusual requests among t
22759,Customer#000022759,MjVD1DAoDuC,10,20-769-839-6109,4381.61,AUTOMOBILE,"thely pending asymptotes. bold, "
72112,Customer#000072112,dQ3XLJ66iHBMd14OOm8rs,10,20-414-798-3734,148.54,BUILDING,"nd the final, bold packages grow quick"
40264,Customer#000040264,yEalYYmuv1DEptLwC1WTHN,18,28-764-949-5850,6901.71,AUTOMOBILE,otes sleep along the blithely silent accounts. blit
103943,Customer#000103943,"1tf,dI79Oq7",23,33-996-848-4521,51.38,BUILDING,arefully around the blithely final instructions. bold instructions us
110624,Customer#000110624,"foLCvr5Eh1uMaX,SU2MhGW",2,12-215-272-4735,2280.11,FURNITURE,ironic theodolites eat blithely. slyly silent packages 
50444,Customer#000050444,"6vrhGQN,8JFnXDXIfD5 bUNb2AQ,xCnle3hpC7E",3,13-313-131-1101,-655.03,AUTOMOBILE,arefully even depths grow carefully furiously final accounts. slyly pending theodolites affix. carefully ironic 
39280,Customer#000039280,"FiLvndYK2ks3J,tkD7n8KBCkKs",1,11-453-672-6570,3949.26,MACHINERY,"theodolites among the regular, special platelets cajole carefully across the"
99017,Customer#000099017,cgTlVqLwC7b86bp3MaRLLGl5x,20,30-898-307-6938,9695.10,MACHINERY,s according to the slyly even platelets affix about the slyly pending foxes. carefully pending packages pr
64120,Customer#000064120,"N3zQG7mQ9W2WZnjnGXc,pzu",21,31-534-261-1376,5739.23,FURNITURE, are across the carefully final dependencies. furiously s
116443,Customer#000116443,zjd0qoZ6BHQDAMbS71jb6dO,17,27-786-244-2531,4895.99,HOUSEHOLD,luffily even accounts sleep silently along the final deposits. fluffily express depos
103270,Customer#000103270,"WVuzTHc3dJ0fR2AIhsLeqrGhjOEBz7,o",14,24-335-870-4881,3606.00,FURNITURE, wake fluffily theodolites? slyly final accounts b
14141,Customer#000014141,L1ybKL1UkYurTbU0iOf,15,25-350-223-3853,2261.36,MACHINERY,"nding packages wake. quickly brave dolphins are furiously above the pending, ironic deposits. packages hinder"
38236,Customer#000038236,RZZ9a9AAV3ezVye5cQYN1nPqbso4HKj,3,13-607-415-5416,6241.60,AUTOMOBILE,xes. regular asymptotes boost carefully. busily even hockey players boost above the
81868,Customer#000081868,XEF2Wp1GfUpZUF27m,24,34-210-829-8554,2906.37,FURNITURE,ickly throughout the ideas. quickly even notornis integrate. slyly ironic foxes across the carefully regular depend
134077,Customer#000134077,"tLV7pW,8nJuS7XZPxQQunn,",0,10-882-729-4430,3247.23,FURNITURE," accounts haggle slyly. regular foxes are blithely above the special, silent deposits. fluffily unu"
107473,Customer#000107473,4EI1aqCRT7KE ezkS8W79NOkWVfPFldJUZuU,0,10-302-483-4430,1894.79,AUTOMOBILE,he slyly regular platelets are deposi
9887,Customer#000009887,o0ypH7OdM ,4,14-851-136-8611,1447.30,AUTOMOBILE,t the carefully regular deposits-- furiously 
126293,Customer#000126293,"8Iub2LdoHk7s,aiY",12,22-992-855-8284,5654.76,HOUSEHOLD,counts wake quickly: instructions sleep. furiously even instructions snooze. carefully sly ideas maintain quickl
53119,Customer#000053119,ED4DF9Wbp13TlaYIiKRBROnYLL7IS4YkcF0Wpeb,24,34-803-414-8389,4517.72,MACHINERY,"inal, unusual instructions kindle. blithely silen"
106880,Customer#000106880,rdGa1gEdpqjo8ejJ9z,6,16-582-991-2659,2091.85,MACHINERY,ithely carefully stealthy acc
3469,Customer#000003469,"MaQnB,hrbXgHdEseluab9zkzGfzlE8A6mqvHroy,",23,33-549-197-1739,9898.09,MACHINERY,ntly special pinto beans sleep fluffily-- pending packages detect furio
90355,Customer#000090355,2DOZ6XHhCnJIJpbQr Vhtp4RG2yQX3JXSdtGcEv,17,27-129-348-8305,8903.83,BUILDING,"uests. bold, final deposits cajole blithely according to the even theodolites: theodolites above the f"
125155,Customer#000125155,G1Xu4O5nAoe3NiWA4,1,11-280-581-8879,5860.21,HOUSEHOLD,express accounts. quickly regular accounts integrate above the blithely ironic the
65540,Customer#000065540,qZpa0TqhGHv0DGncVl,17,27-609-775-6691,6745.56,AUTOMOBILE,"unts cajole. carefully final instructions wake carefully; unusual, ironic instructions after "
121297,Customer#000121297,Cp1XdMBDjd yocvllp0IRmKX2nZjTsG,6,16-354-949-1386,2810.32,AUTOMOBILE,"ual, special accounts sleep carefully quickly express packages. de"
51229,Customer#000051229,cmlFWrwQbFqyigaiD5PW53jN,23,33-769-637-1062,5880.76,AUTOMOBILE,se slyly according to the slyly bold packages: ironic dolphins ar
149983,Customer#000149983,SSuHdkAtvsmuLhacQJgYIshV,14,24-628-542-8699,1197.57,FURNITURE, pinto beans. quickly final packages sleep above the fluffily f
131867,Customer#000131867,"5XGKeIsFWcn1k8869I1,n1I",13,23-133-236-2959,3227.37,FURNITURE,l theodolites. furiously bold packages cajole furiously even theodoli
8227,Customer#000008227,"xxp70LqH,mQrxELwogbD",2,12-788-174-3178,8333.90,MACHINERY,o the final ideas use furiously slyly daring platelets. blithely regular instructions sleep fluffily.
74174,Customer#000074174,aVMbMqRsvcTTfhn,0,10-676-549-1118,167.07,MACHINERY,thely silent theodolites serve carefully. theodolites boost. carefully express platelets n
90943,Customer#000090943,Y8gz  fszAoYSdZZAmyIVmcroa8iadOh,12,22-352-328-5705,4005.99,MACHINERY,quests. final instructions after the express ideas dazzle carefully fluff
27719,Customer#000027719,eaiurjkRNIXw9m4TJ skNqgNrTNAQFqx,4,14-257-805-7257,217.45,HOUSEHOLD,lly close deposits. blithely regular foxes sleep aft
35269,Customer#000035269,"1YVOWJ5GZ,HKDAzyh2K",9,19-394-549-3504,7604.14,HOUSEHOLD, unusual packages sleep. quickly final instructions after th
89222,Customer#000089222,sYDRsFTqZg8Yi6TnH,8,18-483-395-7063,5453.94,FURNITURE,es integrate after the furiously pending excuses. slyly unusual dependenci
26366,Customer#000026366," ,,Z4SdbnX4v 2F6zmW8o8",20,30-163-168-7003,2869.07,AUTOMOBILE,ual deposits are carefully along the special excuses-- carefully regular requests haggle fluff
56861,Customer#000056861,tlGjer9bphRMlZErGh9NKvv1yRJ3RQNe0e7,0,10-253-702-4296,2927.21,MACHINERY,"requests wake furiously even, regular pinto beans. fluffily express packages sleep. pending requests kin"
44638,Customer#000044638,sQauEzqkKMNX4,17,27-806-884-8242,7606.09,MACHINERY,fully furious braids cajole above the furiously final deposits. ironic pinto beans play slyly. regular reques
134182,Customer#000134182,MhQYXmhaNhj6d,14,24-161-261-4490,6823.62,FURNITURE,"counts wake thin, unusual excuses. slyly ironic tithes haggle. deposits use quickly along the carefully "
8903,Customer#000008903,togyQdi5XRm1,11,21-190-446-7616,4547.94,FURNITURE,refully furiously bold accounts. fluffily bold requests across the quickly
4867,Customer#000004867,"t5Lbq6QB04A,ZkWZ3FF30jRbSWiSv86i8NC",14,24-570-932-2207,9330.77,MACHINERY,eas are special accounts. accounts wake blithely even instructions. f
104014,Customer#000104014,TP5C19uZF0h8pWlLe64wsq80kwhj,13,23-541-666-3504,7121.98,FURNITURE,the packages. carefully pending requests haggle enticingly. grouch
1571,Customer#000001571,akbtXy3o6igP3n8C,6,16-661-716-6605,4250.73,BUILDING,silent deposits sleep. silent foxes acro
33716,Customer#000033716,0bbYnznN02a,22,32-525-814-7651,6339.77,BUILDING, bold instructions wake blithely at the daring foxes. carefully final platelets affix sly
115918,Customer#000115918,b1FFO7jn072rnBLDaWgGRzyx,16,26-109-579-1148,-356.48,AUTOMOBILE,ending warthogs. regular accounts cajo
70639,Customer#000070639,"lkOYz,psKVkxEc137CGwixDGseNTt6",24,34-736-594-1692,4309.10,FURNITURE,ructions after the carefully express foxes are carefully even pinto beans. unusual ideas should sleep. 
70376,Customer#000070376,pvyQIGQuP6VUue0dDP,2,12-246-886-7758,3643.66,FURNITURE,le regularly. ideas wake according to the furiously pending pinto beans-- blithely special accounts ar
38560,Customer#000038560,ezs4KwbyAT0JSN,5,15-603-323-1807,1312.54,FURNITURE,ckly careful theodolites haggle quickly. quickly regular theodolites wake quietly atop the ca
6443,Customer#000006443,"pHv34YqZSMUDlEyxk Mlvf6Ub,",6,16-852-419-2587,1478.34,BUILDING,nic courts haggle slyly blithely regular theodolites-- special excuses use slyly. ironic dolphins are slyly f
142436,Customer#000142436,",Ei3yFucoevZ2QOWABwK87LRqGU",10,20-753-230-6563,9368.24,BUILDING,"ages nag into the even, ironic foxes. unusual accounts wake stealthily outside the furiously sp"
139582,Customer#000139582,CJ0MbCoeROyduW c NVYL3WPpEwi1pJr,8,18-225-113-1529,1423.80,HOUSEHOLD, haggle alongside of the final foxes. blithely special dependencies print. carefully pending theodolite
37859,Customer#000037859,mjBzn9wuv5aw63dhRywEWTlvx4ckIIC5,17,27-741-650-1139,1623.45,MACHINERY,"ecial foxes cajole furiously blithely ironic dependencies. packages boost unusual, even notornis. eve"
72638,Customer#000072638,"qhFKaBl,5FWYXWaOwA762S3c",2,12-195-558-9313,836.66,FURNITURE,refully regular instructions according to the blithel
119686,Customer#000119686,"Y lfyPeoGEUbpDZXy1Jx9UVnYOxMFkc,wPHGYJ2j",3,13-164-634-6843,8787.66,BUILDING,t the slyly special deposits. furiously dogged ideas cajole sly
90442,Customer#000090442,"YzoGp p8,f9nIRbdek2ckdscPZBG3K216MKDfR",18,28-132-768-6983,-691.02,BUILDING,s haggle furiously blithely regular asymptotes. ironic t
83122,Customer#000083122,"iuf2kNJnIo TVNNznp5qzqQ8,",23,33-107-649-6878,3464.71,FURNITURE,". carefully final instructions wake furiously final, even asymptotes. carefully special platelets slee"
74110,Customer#000074110,YenWKdknieXWTDTa,7,17-737-362-3582,4275.06,HOUSEHOLD,"fully bold dolphins unwind furiously even, final instruc"
126790,Customer#000126790, 32HscnNfKYIBNqyuFl,21,31-123-453-6446,5836.75,AUTOMOBILE,s sleep up the carefully regular excuses. requests use blithely across the regular packages. carefully fi
41455,Customer#000041455,"k5YxgPAXK4QYEgb7YEX2JTFI6d,gp3BN",1,11-351-165-8560,5437.50,AUTOMOBILE,the pending braids doze above the bli
142655,Customer#000142655,Vqj8Fb5XzFKvMR3YL00AvDP8ByHLQmi0Y6,15,25-912-359-3216,-771.04,AUTOMOBILE, express platelets. carefully regular pinto beans solve. slyly final accounts haggle furio
79069,Customer#000079069,1Dt7VffQPY,22,32-133-521-5083,-951.00,AUTOMOBILE,"fter the slyly unusual requests. regular, final dependencies among the thin requests are quickly atop the regular r"
83305,Customer#000083305,TtinFLLyN9KqH6T9pu,14,24-368-151-8055,3584.74,FURNITURE,nal packages. blithely regular courts cajole care
55978,Customer#000055978,"GeyaW,LTybN46ERZff",11,21-918-166-4129,7817.78,AUTOMOBILE,e the orbits. blithely regular id
91730,Customer#000091730,"1,3K0Qtn,62",19,29-216-629-7950,8745.48,MACHINERY,"y even accounts-- regular deposits above the express, regular courts wake slyly "
36020,Customer#000036020,QNX9Bi77XZw27LrQju8S7MD,1,11-543-127-9614,7459.60,MACHINERY," express requests nag furiously above the even deposits. regular, regular "
39410,Customer#000039410,"2dQC9FoK4WwOOSp,6m5fKy0M48Gv5yd1O0hys,",7,17-123-423-9991,5696.21,BUILDING, warthogs. slyly final requests 
18403,Customer#000018403,5l8c1UfjvooIJS3hZbbw5xbQp,11,21-116-881-7469,4029.13,MACHINERY,ar waters. blithely final requests nag furiously from the blithely final instructions. blithely 
51728,Customer#000051728,VusqcxCRIP,23,33-887-978-5724,9839.96,HOUSEHOLD,ackages. platelets haggle with the s
91160,Customer#000091160,GvyqP9VDoAAnUuEn7uGLi6sMChKP9DsDCTGOCGK,4,14-951-424-7485,5940.26,MACHINERY,s. blithely final requests haggle slyl
96631,Customer#000096631,0Ec58icxVcbyuyrBDs0WW8DvNYuXAf Z,2,12-732-778-5092,9212.04,BUILDING, above the slyly final pinto beans: 
23704,Customer#000023704,"9,i1eYI1xRrn8ar",16,26-456-439-7175,287.07,HOUSEHOLD,eposits. sometimes regular warthogs cajole after the carefully final platelets. carefully 
10958,Customer#000010958,pCEUXAcAv7Dk8xRDYtgR,13,23-271-907-3528,5865.45,FURNITURE,posits cajole. final deposits along the fluffily ironic re
35194,Customer#000035194,cWUgcby rGxc9nlljN,22,32-839-374-1719,7558.44,BUILDING,"ual instructions are. ironic packages cajole regular, bold asymptotes. carefully regular accounts bo"
129208,Customer#000129208,E9g0tUyghI1YSffjFPJhn1c7vgTQAoBt3DU6,10,20-372-905-2085,6208.36,AUTOMOBILE,tions. slyly final dependencies detect slyly silent accounts. even requests use quickly about the sometimes even 
72538,Customer#000072538,Qy2o4Ge445j5CNJZptQHu1eYau0yIi4,23,33-702-455-4211,2782.14,AUTOMOBILE,pths try to are along the unusual theodolites. slyly regular requests sleep 
1108,Customer#000001108,9sPt6a66R0eCRVYh9QrF8zjxNWFFk8KU,7,17-408-450-8891,4997.35,BUILDING,rding to the final instructions. carefully final accounts wake along the carefully careful pinto beans. re
118630,Customer#000118630,fZ rKaOiaOtEQekU nF4ISklisEHruUKNEWQ,13,23-205-131-3224,814.45,MACHINERY,ly? quietly silent requests cajole slyly above the 
122323,Customer#000122323,mb0j0qTujZoLJiJ07vPTZZ lvN8jzrpPzRiCPh,16,26-567-297-7402,4103.94,HOUSEHOLD, pinto beans sleep deposits. quickly pending packages doze bl
27557,Customer#000027557,3KrFXHNtpGgjCuHqzIyrLNEDTR8cSW8h ,0,10-597-653-9363,4090.25,MACHINERY,"lyly alongside of the unusual, special ideas? fluffily pending packages sleep"
